new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,1,1,0,0,90,2,8,80074.4
2,0,1,1,1,80,512,8,102602.0
3,0,1,0,1,40,4,10,46820.0
4,1,0,1,1,40,32,2,35760.0
1,1,1,0,1,90,8,6,76676.4
1,1,1,0,0,100,32,10,100160.2
4,1,1,0,0,50,64,0,8933.4
3,0,1,1,1,80,16,10,47767.4
3,0,1,0,0,50,1024,2,12162.0
3,0,1,0,0,20,128,8,38691.0
5,0,0,1,1,70,2,2,9145.0
4,1,0,1,1,40,2048,2,35804.2
2,1,1,0,1,20,1024,0,5016.0
4,1,1,1,0,70,8,8,125043.6
3,0,1,1,0,10,8,0,12454.4
3,1,1,0,1,60,2,8,39076.2
3,1,1,1,0,60,1024,2,12082.2
4,0,0,0,1,20,8,4,14338.8
5,1,0,0,1,0,2048,2,9250.0
5,0,0,1,0,60,64,8,121748.8
5,1,0,0,0,80,16,2,9147.8
2,0,0,0,1,70,512,4,4402.6
4,0,1,1,1,10,64,8,124532.6
3,0,0,0,0,30,256,6,10620.6
4,0,1,0,0,10,16,10,143940.0
2,1,0,1,0,20,512,10,103766.2
2,1,0,1,1,40,512,2,17824.4
1,0,0,1,0,50,512,2,17825.0
4,0,1,1,1,10,64,10,416004.4
1,1,0,1,1,40,16,6,93728.2
1,1,0,1,1,0,512,4,18518.8
4,0,0,0,0,30,256,0,9022.2
4,0,0,1,1,10,8,10,414416.8
5,1,0,0,1,60,8,0,9167.4
1,1,0,0,0,80,1,0,17663.6
2,0,1,0,0,100,4,6,72746.2
3,0,1,0,1,30,128,6,10611.0
5,0,0,0,0,90,1,10,298631.6
3,0,0,1,0,10,256,8,39337.0
1,0,0,1,1,70,4096,8,103179.8
2,0,1,1,1,20,8,0,17666.4
1,1,1,0,0,90,32,8,99540.4
5,0,0,1,1,30,256,6,47794.2
5,0,1,1,0,10,64,0,9155.4
2,0,1,1,0,90,2,8,117324.6
5,1,0,1,0,50,64,2,9192.2
1,1,0,1,0,40,2048,0,17779.2
4,1,0,0,0,100,4096,2,8912.8
1,0,0,1,1,10,512,2,17677.2
2,1,1,1,0,20,8,2,17652.6
5,1,0,1,0,50,32,0,9212.4
5,0,0,0,0,10,1,8,120563.6
5,0,0,1,1,70,512,6,47599.0
3,0,1,1,0,70,2,8,39026.2
5,0,0,0,1,100,2,4,9143.2
5,0,0,0,1,70,16,10,300093.2
3,0,1,1,0,0,128,6,20857.0
1,1,1,0,1,10,512,4,12344.6
1,1,0,1,0,100,512,8,102787.6
3,0,1,1,1,0,256,0,15955.8
2,1,0,1,0,20,16,6,93735.0
4,1,1,1,1,60,8,4,43529.6
1,0,1,0,0,70,4096,10,100967.4
2,0,1,0,0,20,4096,8,101169.6
5,1,1,0,1,0,64,6,47390.8
2,0,0,1,0,30,4096,0,17689.8
5,1,1,0,0,30,128,0,9228.2
3,0,1,0,1,0,4,2,16165.0
5,0,0,1,1,70,1024,4,9240.0
5,0,1,1,1,90,1024,10,299569.4
3,0,0,0,1,20,4,2,12823.4
4,1,1,0,0,0,1,4,22103.4
5,1,1,0,0,90,2,0,9138.6
3,1,1,0,1,90,1024,10,48279.2
2,1,0,1,1,80,256,6,90816.6
4,1,1,0,1,50,16,6,20390.4
5,1,1,0,1,40,256,6,47446.4
2,0,0,0,0,50,4,4,11931.4
4,0,0,0,1,40,512,2,8985.8
3,0,0,1,0,30,1024,10,48668.8
4,1,1,0,1,30,32,6,19884.8
5,1,0,1,0,80,128,6,47465.0
4,1,0,0,0,80,1,2,10025.4
3,1,1,1,1,10,4096,6,11716.4
4,0,1,1,1,0,64,10,421830.0
4,0,1,1,0,80,32,6,49785.2
3,1,1,1,1,100,2,2,13165.6
4,1,0,0,1,60,4,2,9365.8
1,1,0,1,0,50,256,6,91096.8
4,1,1,1,1,50,8,6,49276.6
1,1,1,0,1,10,512,0,17703.6
3,1,1,0,1,80,4,8,37708.6
4,0,1,1,1,80,256,2,35425.4
4,0,1,0,0,10,4096,0,9266.8
1,1,1,0,1,40,2,8,80211.8
1,1,1,1,0,80,128,4,11780.4
1,0,1,1,0,70,2048,10,102936.8
3,0,0,1,1,70,2,0,13241.4
3,1,0,1,1,0,2,4,15902.2
4,1,0,0,1,50,16,4,13336.0
