ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,99800.6
0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,95893.8
0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,83428.4
0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,64601.4
0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,75990.4
0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,85118.8
1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,89992.2
0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,88563.4
0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,59968.4
1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,73795.4
1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,84441.0
0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,59777.8
0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,82218.2
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,67433.0
0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,65204.8
1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,61455.4
1,0,1,0,0,1,1,0,1,1,1,1,0,1,1,0,82910.4
1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,81165.6
0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,63155.4
1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,80039.0
1,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,78942.4
0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,85574.2
0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,76714.2
1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,67145.4
1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,81139.4
1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,85315.8
0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,68807.6
0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,80480.2
1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,85501.8
0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,70010.4
0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,70084.6
1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,69842.8
1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,84020.4
1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,88373.4
1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,68369.8
1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,72811.8
0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,72550.6
0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,91212.6
0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,78449.2
0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,86699.0
0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,83177.4
