fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,0,0,1,64,2,1024,136113.4
0,1,1,0,1,128,32,4096,46577.6
0,1,0,1,1,256,8,1024,46605.0
1,1,1,0,1,256,2,4096,132488.4
1,0,1,0,0,128,2,256,135048.6
1,0,0,1,1,64,2,256,131695.0
0,1,1,0,0,128,2,4096,46235.8
0,0,1,1,1,128,32,4096,46593.6
1,1,1,1,1,128,8,4096,130405.6
0,0,1,0,1,64,32,1024,46132.6
0,0,0,0,0,128,2,256,46236.8
0,0,0,1,1,128,2,1024,46407.8
1,0,1,0,1,128,2,256,136870.8
0,0,1,0,1,64,8,4096,46345.6
0,1,0,0,0,64,32,1024,46224.0
0,1,0,1,1,256,8,256,46453.0
1,1,1,0,0,128,32,1024,132014.6
0,0,1,1,1,64,32,1024,46610.2
0,1,1,1,1,256,8,256,46778.4
0,0,1,1,0,64,32,1024,46819.6
1,0,0,1,0,128,8,4096,131102.8
1,0,0,1,0,128,32,4096,133001.4
1,0,1,1,1,64,2,256,135234.0
1,1,1,1,0,128,2,256,128216.6
0,1,1,0,0,128,2,1024,47200.2
0,1,0,1,0,128,32,256,47359.0
0,0,1,0,1,256,8,1024,46106.2
0,0,0,0,1,128,32,256,46035.0
0,1,0,0,1,256,32,256,46163.4
0,0,1,0,0,128,32,1024,46138.8
1,0,1,0,1,64,32,1024,138701.4
0,1,0,1,1,64,8,256,46752.4
1,1,0,0,0,256,2,1024,132971.6
0,1,1,1,0,128,2,256,46517.8
0,0,1,0,1,64,32,1024,46132.6
0,0,1,0,0,64,2,1024,46199.0
0,1,0,1,1,64,2,256,46400.6
0,1,1,0,1,256,8,4096,46207.2
0,0,1,0,1,256,8,256,46064.6
1,1,1,1,1,256,8,256,136030.6
0,1,0,0,0,64,8,1024,46294.0
1,1,0,0,1,256,32,4096,134608.6
1,0,1,0,0,256,8,1024,138245.2
1,0,1,0,1,64,8,256,138369.4
1,0,0,0,0,128,2,1024,131468.0
1,0,0,1,1,64,8,1024,135458.2
1,0,1,0,0,128,8,1024,130578.0
0,1,0,1,1,64,8,1024,47491.4
1,1,0,1,0,256,32,1024,134381.0
0,1,0,0,1,64,32,1024,46172.8
1,0,0,0,0,64,32,256,129289.6
1,1,0,0,1,256,8,1024,133251.6
1,0,0,0,0,64,32,4096,131737.4
1,0,0,0,1,64,2,256,133882.4
0,0,1,0,0,64,32,4096,46191.2
1,1,0,0,0,128,2,4096,133164.4
0,0,1,0,1,128,8,256,46271.0
1,1,0,0,1,256,8,1024,133251.6
1,1,1,0,1,256,2,256,137593.6
1,1,0,0,0,64,32,1024,132129.6
1,1,1,0,0,128,8,4096,128931.4
0,1,0,1,1,256,32,256,46634.4
1,0,0,0,0,256,32,1024,136341.4
0,0,1,1,0,128,32,1024,46495.6
1,1,1,1,1,128,8,1024,130226.0
1,0,0,0,1,64,32,256,134278.2
1,1,1,0,1,256,8,4096,131231.2
1,0,1,1,0,256,2,256,140950.6
1,1,1,1,1,64,32,256,132168.8
0,1,0,0,1,256,8,256,46192.0
0,1,1,1,1,64,32,1024,47233.2
1,0,0,0,0,64,2,1024,131859.6
1,0,0,0,0,128,2,1024,131468.0
0,1,0,1,1,128,32,256,46423.2
1,0,0,0,0,64,8,1024,132700.0
1,0,1,1,1,256,8,1024,134859.0
1,0,1,0,1,256,32,4096,138982.6
0,0,1,0,0,64,32,256,46180.0
0,0,0,1,1,128,8,256,46472.4
0,0,1,1,0,256,32,4096,47278.0
1,1,1,0,1,128,2,4096,134358.4
0,0,1,1,1,64,32,4096,46738.6
0,1,1,0,0,256,8,4096,46382.8
1,0,1,0,0,128,8,4096,133337.6
1,0,0,0,1,128,32,4096,132338.6
0,0,0,0,0,64,8,1024,46349.4
0,1,1,0,0,256,32,1024,46047.4
0,1,1,1,1,64,2,4096,46733.4
0,1,1,0,1,256,2,1024,46256.8
0,1,0,0,1,128,32,4096,46213.6
0,1,0,1,0,128,32,4096,46190.0
1,0,0,1,1,256,2,256,131810.4
1,1,1,0,1,128,2,1024,134561.0
0,0,0,0,0,256,32,256,46275.0
1,1,1,0,0,64,32,4096,131524.0
0,1,1,0,1,256,2,256,46083.6
0,0,0,0,0,128,2,1024,46169.2
0,1,0,1,1,64,8,256,46752.4
0,1,1,1,0,64,2,1024,46505.8
0,0,0,1,0,64,32,4096,46264.2
