WindowSize,CompressionLevel,Performance
17,10,307.144
13,0,1.514
18,3,2.562
13,7,5.554
12,11,328.552
22,1,1.586
21,7,15.806
22,9,34.292
13,6,4.3
16,8,7.548
20,10,246.512
18,5,6.714
17,9,10.152
21,0,1.604
19,8,11.508
12,9,6.47
21,0,1.604
23,1,1.572
13,4,2.972
14,3,2.302
23,3,2.478
14,10,301.488
24,0,1.574
13,2,1.942
15,7,6.39
19,5,7.372
10,6,3.386
12,8,5.318
14,0,1.472
24,8,38.644
19,7,10.05
20,10,246.512
22,7,19.626
24,11,394.158
22,5,7.198
17,8,8.454
12,0,1.528
19,3,2.552
20,2,2.088
21,6,10.46
15,5,5.072
12,2,1.988
13,5,4.128
12,1,1.542
16,5,5.392
15,11,292.192
21,6,10.46
14,5,4.678
17,5,5.886
23,2,2.032
24,6,10.176
14,1,1.46
10,1,1.666
23,5,7.178
18,1,1.63
17,8,8.454
17,7,7.636
13,5,4.128
15,2,1.972
23,4,2.726
13,11,315.078
15,8,6.738
23,9,63.68
19,1,1.604
24,11,394.158
19,4,2.8
11,4,3.04
20,4,2.808
14,1,1.46
19,8,11.508
21,3,2.512
22,5,7.198
15,11,292.192
18,7,8.628
17,10,307.144
17,2,2.102
11,5,3.49
21,8,18.874
11,3,2.476
20,6,10.658
19,1,1.604
14,7,5.896
12,5,3.746
15,10,291.618
24,4,2.708
15,6,5.306
13,7,5.554
22,8,25.432
20,3,2.546
18,7,8.628
20,3,2.546
10,0,1.662
24,11,394.158
17,9,10.152
15,4,2.834
11,0,1.526
12,6,3.846
19,5,7.372
16,6,5.77
14,4,2.894
