topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,10,2,1000000,1,0,1000,10,1024,10000,5,0,2.0
2,1,4,10,10,1,1,1000,512,100,5,29,2.0
2,10,4,10,1,0,1000,1000,512,10000,2,0,0.895412634151
2,10,2,1000000,1,0,1000,10,512,100,5,29,0.00165045489642
4,1,4,1000000,10,1,1000,10,1024,10000,2,0,2.0
4,1,2,10,1,0,1,1000,512,100,2,29,2.0
4,10,2,1000000,1,0,1000,10,1024,100,5,0,0.00015796433002
4,1,2,1000000,10,0,1000,10,1024,10000,2,0,2.0
4,10,2,1000000,1,1,1000,1000,512,100,5,29,2.0
4,10,2,10,10,1,1000,1000,512,100,2,29,2.0
2,10,2,1000000,10,0,1000,10,512,10000,2,0,2.0
2,10,4,10,10,1,1000,1000,1024,100,5,0,2.0
4,10,2,1000000,1,0,1,10,1024,10000,2,29,2.0
4,1,2,1000000,10,0,1,1000,512,10000,5,29,0.0010635357047
4,1,4,10,1,1,1000,1000,1024,100,2,29,2.0
4,1,2,1000000,1,1,1000,10,512,100,5,0,0.000136176146569
2,1,4,1000000,10,1,1000,1000,512,100,5,29,2.0
2,1,4,10,1,1,1000,1000,1024,10000,5,0,0.371148087474
2,1,4,1000000,10,1,1,10,512,100,2,0,2.0
2,1,2,10,1,1,1,10,1024,100,2,0,0.0149058410035
2,10,4,1000000,1,1,1,1000,512,100,5,0,2.0
2,10,2,10,10,0,1000,1000,512,10000,2,29,0.727817927045
4,1,2,1000000,10,1,1,1000,512,10000,2,29,0.00504124094599
2,10,2,1000000,10,1,1,1000,512,100,2,0,2.0
2,10,2,10,1,0,1000,1000,512,10000,5,29,0.288889524378
4,10,2,1000000,10,1,1000,10,1024,100,2,29,2.0
2,1,2,10,10,1,1000,1000,512,100,2,29,2.0
2,10,4,10,1,1,1,1000,512,10000,2,29,0.014922182141
2,10,4,1000000,10,0,1,10,1024,10000,5,0,2.0
2,10,2,1000000,10,1,1000,1000,512,10000,2,0,2.0
4,10,4,1000000,10,0,1000,1000,1024,100,2,0,2.0
4,1,4,1000000,10,1,1,10,512,10000,2,0,2.0
2,10,4,1000000,10,0,1,1000,512,100,2,29,2.0
4,1,4,10,10,1,1,10,1024,100,2,0,0.145097045931
4,10,2,1000000,1,0,1000,1000,512,100,5,0,2.0
4,10,2,1000000,1,0,1,10,1024,100,5,0,0.000883783191234
2,10,2,1000000,1,1,1000,10,1024,100,2,29,4.08528439707e-05
4,10,4,1000000,1,1,1000,10,512,10000,5,29,2.0
4,1,2,10,10,1,1,10,512,10000,2,0,2.0
4,10,2,1000000,1,1,1,10,512,100,5,29,0.000796630457429
2,1,4,1000000,10,1,1,1000,1024,100,2,29,2.0
2,10,4,10,1,1,1,10,1024,10000,5,29,2.0
2,10,4,1000000,10,1,1000,1000,512,100,2,0,2.0
2,1,4,1000000,10,1,1,10,1024,100,2,0,2.0
4,10,4,1000000,10,1,1000,1000,1024,100,5,29,2.0
4,1,4,1000000,10,0,1,1000,512,10000,5,0,2.0
2,1,4,10,1,1,1,10,1024,100,2,0,0.0148418382146
