new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,2,3,0,1,1,0,0,0,0,34.49
2,1,2,0,1,0,1,0,1,1,45.698
1,3,1,0,1,1,0,0,1,0,141.164
1,2,3,1,1,1,0,0,0,1,115.692
4,3,2,1,1,1,1,1,1,0,42.7
1,2,3,0,0,0,1,0,1,1,117.986
2,1,1,0,1,1,1,1,0,0,49.426
4,2,2,0,1,0,1,0,1,1,32.626
1,3,3,1,1,1,0,0,1,1,136.322
1,2,3,0,0,0,1,1,1,1,125.676
3,3,2,1,1,0,0,0,0,1,57.92
3,3,2,1,1,0,0,0,0,0,58.23
2,2,3,1,0,1,0,0,1,1,56.402
3,1,3,1,0,1,0,0,0,1,30.438
4,1,2,0,0,1,0,1,1,0,25.162
4,1,3,1,1,0,0,0,0,0,22.984
1,3,2,0,1,0,0,0,1,1,141.614
3,2,2,1,0,1,1,1,1,0,43.746
1,3,2,0,0,0,0,1,0,0,181.966
3,1,1,1,0,0,1,1,0,1,32.376
3,1,2,0,1,0,0,1,0,0,33.082
2,3,2,1,1,1,1,1,1,1,84.032
4,1,3,1,0,0,0,0,1,1,23.66
1,3,2,0,1,0,0,0,1,0,141.914
4,2,1,1,0,0,1,0,0,1,33.854
1,1,1,0,1,1,0,1,1,1,93.292
2,2,3,0,1,1,0,0,1,1,58.384
1,2,1,1,1,1,0,0,0,0,114.682
2,2,3,0,0,1,0,0,0,1,66.288
3,2,3,0,0,1,1,0,1,1,44.33
4,3,3,1,0,1,1,1,0,0,50.714
2,1,3,1,0,0,0,1,0,1,47.06
1,1,3,0,1,0,0,0,0,1,85.176
2,1,1,0,0,0,1,0,0,1,46.34
3,3,1,1,0,0,1,0,0,0,66.636
2,1,3,0,0,0,1,1,1,1,50.566
4,3,3,0,0,1,0,1,1,1,40.966
1,3,3,0,0,0,0,0,1,1,142.656
3,3,3,0,1,1,1,0,1,0,59.306
1,1,3,0,1,1,1,1,0,0,93.496
4,3,2,0,1,1,0,0,1,1,38.94
4,2,2,0,0,1,0,1,1,1,32.536
2,1,2,1,1,1,1,1,1,0,46.038
4,1,2,1,0,1,0,0,1,0,23.096
4,2,3,0,1,0,0,0,0,1,34.346
1,3,1,1,0,1,0,1,0,1,174.34
2,1,1,1,1,0,1,0,0,1,42.362
4,3,1,0,0,0,1,0,0,0,49.752
3,1,1,1,0,0,0,1,0,1,31.79
4,3,2,0,1,0,1,1,0,1,52.888
4,3,2,1,0,1,1,1,1,0,43.018
1,3,1,0,0,0,1,0,1,1,156.276
3,3,1,1,0,0,0,0,1,0,49.73
3,3,3,0,1,1,0,1,0,0,66.78
4,1,2,0,1,0,0,0,0,0,24.508
1,3,2,1,0,0,0,1,1,0,147.838
1,2,3,0,0,0,0,0,0,1,123.576
1,2,3,0,1,1,1,0,1,0,116.954
2,3,3,1,1,0,1,0,0,1,92.068
3,1,2,1,0,1,0,0,1,1,29.928
1,3,1,0,0,1,1,1,1,0,164.836
3,1,2,0,1,1,0,0,1,1,31.296
2,2,1,1,1,1,0,0,0,0,60.89
4,2,3,1,1,0,0,1,0,0,33.636
3,2,2,0,0,1,0,1,0,0,50.242
2,3,3,0,0,0,1,0,1,0,84.542
4,3,2,1,0,1,0,1,0,1,47.128
4,2,1,0,1,1,1,0,1,1,31.604
4,3,2,0,1,1,0,1,0,1,49.18
1,1,1,1,0,0,1,1,0,0,89.06
1,2,2,0,1,1,1,1,1,0,124.088
1,1,3,0,1,0,0,0,0,1,85.176
1,1,1,1,1,1,0,0,0,0,78.416
3,1,2,1,0,0,0,1,1,1,31.676
1,2,3,1,1,0,0,0,0,0,115.436
4,2,2,0,0,1,0,1,1,0,31.904
2,3,3,0,0,0,1,0,0,1,97.676
1,2,1,1,1,1,1,0,1,0,110.004
2,2,3,1,0,1,0,0,0,0,62.782
3,1,1,1,0,1,0,0,0,1,29.23
3,2,2,0,1,0,0,1,1,1,42.93
2,1,1,1,0,0,1,0,0,0,43.444
3,3,3,0,1,1,0,0,0,0,61.996
4,3,2,0,1,0,0,0,1,0,39.27
2,3,3,0,1,1,0,0,0,0,88.004
3,1,3,0,1,0,1,1,1,1,33.7
1,1,3,1,1,0,1,1,0,1,87.292
3,3,3,1,0,0,0,0,1,0,50.856
1,2,2,1,1,0,0,1,1,1,111.882
3,1,3,0,1,0,1,0,1,1,32.288
3,2,1,1,0,1,0,0,0,1,42.802
4,2,1,1,0,0,1,1,0,0,35.894
1,3,2,0,0,1,1,0,1,0,156.372
2,1,1,1,0,1,0,1,0,1,47.218
2,2,2,0,0,1,1,1,0,1,75.934
1,1,3,1,1,1,1,1,1,1,87.206
3,2,2,0,1,1,1,0,0,0,49.97
2,2,3,1,0,0,0,0,1,0,56.534
2,2,3,0,0,1,1,0,1,0,63.122
1,1,3,1,1,1,0,1,1,1,86.716
