algorithm,dataset,budget,n_runs,median_best_performance,mean_best_performance,std_best_performance,min_best_performance,max_best_performance,q1_best_performance,q3_best_performance,median_valid_count,median_invalid_count,median_total_samples
baseline_random_search,7z,50,30,4744.1,5294.766666666666,1403.2610326475708,4298.0,9135.4,4643.950000000001,5153.0,50.0,0.0,50.0
baseline_random_search,7z,100,30,4646.3,4621.906666666667,174.3702816607141,4298.0,5044.0,4539.45,4694.65,100.0,0.0,100.0
baseline_random_search,Apache,50,30,31.154,31.185526666666664,0.30052530323594606,30.7448,32.0282,31.0888,31.28215,50.0,133.0,183.0
baseline_random_search,Apache,100,30,31.0888,31.06185333333333,0.2433493242423232,30.7448,31.6904,30.8186,31.158099999999997,100.0,257.5,357.5
baseline_random_search,LLVM,50,30,59454.7,59871.31333333333,2282.6025247561142,53887.2,65487.6,58536.4,61214.05,50.0,0.0,50.0
baseline_random_search,LLVM,100,30,58458.8,58425.32,1587.3058255182393,53887.2,61959.6,57698.45,59287.85,100.0,0.0,100.0
baseline_random_search,PostgreSQL,50,30,46064.6,46064.54666666666,56.0407716930624,45939.8,46163.2,46036.0,46100.4,50.0,0.0,50.0
baseline_random_search,PostgreSQL,100,30,46038.7,46033.920000000006,50.176092672327286,45922.8,46100.4,45991.3,46071.35,100.0,0.0,100.0
baseline_random_search,brotli,50,30,1.4929999999999999,1.4971333333333334,0.033654157229836806,1.46,1.574,1.472,1.52,50.0,0.0,50.0
baseline_random_search,brotli,100,30,1.472,1.4800666666666666,0.025598940351632484,1.46,1.528,1.46,1.514,100.0,0.0,100.0
baseline_random_search,spear,50,30,0.000993048659384,0.0017543859649116,0.0009646782385143544,0.000993048659384,0.00397219463754,0.000993048659384,0.00297914597815,50.0,0.0,50.0
baseline_random_search,spear,100,30,0.000993048659384,0.0011254551473018667,0.0006244391507740215,0.0,0.00297914597815,0.000993048659384,0.000993048659384,100.0,0.0,100.0
baseline_random_search,storm,50,30,4.08528439707e-06,2.0471814034237666e-05,3.472649792777829e-05,0.0,0.000133452623638,3.404403664225e-07,1.6681577954725e-05,50.0,74.0,124.0
baseline_random_search,storm,100,30,6.80880732845e-07,8.397529038431667e-06,1.7079990121692348e-05,0.0,6.40027888875e-05,0.0,7.4896880613025e-06,100.0,156.0,256.0
baseline_random_search,x264,50,30,23.034,22.88886666666667,0.5252902470807551,21.556,23.72,22.6845,23.203,50.0,0.0,50.0
baseline_random_search,x264,100,30,22.805,22.611800000000002,0.5068478245404426,21.556,23.206,22.264000000000003,22.984,100.0,0.0,100.0
bestconfig,7z,50,30,8886.7,7514.820000000001,2063.3190271652297,4196.4,9104.8,4861.450000000001,8922.6,50.0,0.0,50.0
bestconfig,7z,100,30,6853.5,6692.986666666667,2267.1287774648345,4196.4,9095.2,4417.25,8886.8,100.0,0.0,100.0
bestconfig,Apache,50,30,31.0917,39.84336666666666,33.36541705274607,30.7448,162.5806,30.8186,31.30245,50.0,51.5,101.5
bestconfig,Apache,100,30,30.7448,30.844653333333333,0.17868148454593663,30.7448,31.1622,30.7448,30.800150000000002,100.0,128.0,228.0
bestconfig,LLVM,50,30,57033.3,57054.26666666667,1944.7702499414868,52324.8,60271.4,56306.8,58594.25,50.0,0.0,50.0
bestconfig,LLVM,100,30,52285.4,53436.2,1840.2352188483003,52285.4,57058.6,52285.4,53772.75,100.0,0.0,100.0
bestconfig,PostgreSQL,50,30,46059.6,46040.64,60.58781941998615,45922.8,46143.4,46022.8,46082.4,50.0,0.0,50.0
bestconfig,PostgreSQL,100,30,46001.8,46000.36,56.05198080107441,45922.8,46097.4,45939.8,46039.0,100.0,0.0,100.0
bestconfig,brotli,50,30,1.46,1.4836,0.04038572639623716,1.46,1.556,1.46,1.5095,50.0,0.0,50.0
bestconfig,brotli,100,30,1.46,1.46,2.2584051416334807e-16,1.46,1.46,1.46,1.46,100.0,0.0,100.0
bestconfig,spear,50,30,0.000993048659384,0.0012247600132404665,0.0008523930850667829,0.0,0.00297914597815,0.000993048659384,0.00198609731877,50.0,0.0,50.0
bestconfig,spear,100,30,0.000993048659384,0.0006951340615687333,0.0008308441177095735,0.0,0.00297914597815,0.0,0.000993048659384,100.0,0.0,100.0
bestconfig,storm,50,30,8.17056879415e-06,7.126551670449e-06,7.299953678823569e-06,0.0,2.72352293138e-05,0.0,1.4638935756175e-05,50.0,54.0,104.0
bestconfig,storm,100,30,0.0,1.2255853191216667e-06,2.5874703536832995e-06,0.0,9.53233025984e-06,0.0,1.36176146569e-06,100.0,129.0,229.0
bestconfig,x264,50,30,21.586,21.6972,0.3105255167481798,21.556,23.062,21.556,21.6465,50.0,0.0,50.0
bestconfig,x264,100,30,21.556,21.558666666666667,0.01460593486680412,21.556,21.636,21.556,21.556,100.0,0.0,100.0
