algorithm,dataset,budget,seed,best_performance,best_solution,valid_count,invalid_count,total_samples
baseline_random_search,7z,50,42,4402.6,"[2, 0, 0, 0, 1, 70, 512, 4]",50,0,50
baseline_random_search,7z,50,43,4720.4,"[2, 0, 0, 0, 1, 60, 64, 0]",50,0,50
baseline_random_search,7z,50,44,5264.4,"[2, 1, 1, 0, 1, 20, 16, 2]",50,0,50
baseline_random_search,7z,50,45,4298.0,"[2, 1, 1, 0, 0, 80, 1024, 4]",50,0,50
baseline_random_search,7z,50,46,4731.0,"[2, 0, 0, 0, 1, 60, 4096, 2]",50,0,50
baseline_random_search,7z,50,47,4969.2,"[2, 0, 0, 0, 0, 30, 32, 0]",50,0,50
baseline_random_search,7z,50,48,4446.4,"[2, 0, 0, 0, 1, 60, 128, 4]",50,0,50
baseline_random_search,7z,50,49,4693.6,"[2, 0, 0, 0, 1, 90, 256, 2]",50,0,50
baseline_random_search,7z,50,50,4693.0,"[2, 1, 1, 0, 0, 80, 4096, 2]",50,0,50
baseline_random_search,7z,50,51,4597.6,"[2, 0, 0, 0, 0, 30, 32, 4]",50,0,50
baseline_random_search,7z,50,52,4651.0,"[2, 0, 0, 0, 1, 100, 64, 0]",50,0,50
baseline_random_search,7z,50,53,9135.2,"[5, 0, 1, 1, 1, 20, 64, 0]",50,0,50
baseline_random_search,7z,50,54,5009.6,"[2, 0, 1, 0, 0, 20, 128, 2]",50,0,50
baseline_random_search,7z,50,55,8970.4,"[4, 0, 1, 0, 0, 80, 16, 2]",50,0,50
baseline_random_search,7z,50,56,4676.6,"[2, 1, 0, 0, 1, 100, 1024, 0]",50,0,50
baseline_random_search,7z,50,57,9135.4,"[5, 0, 0, 0, 0, 20, 32, 4]",50,0,50
baseline_random_search,7z,50,58,4851.2,"[2, 0, 1, 0, 1, 40, 2048, 0]",50,0,50
baseline_random_search,7z,50,59,5200.8,"[2, 0, 0, 0, 1, 30, 8, 2]",50,0,50
baseline_random_search,7z,50,60,4887.8,"[2, 1, 1, 0, 1, 40, 1024, 0]",50,0,50
baseline_random_search,7z,50,61,7427.0,"[2, 0, 1, 0, 0, 50, 2, 0]",50,0,50
baseline_random_search,7z,50,62,4684.0,"[2, 1, 0, 0, 0, 90, 64, 0]",50,0,50
baseline_random_search,7z,50,63,4782.2,"[2, 1, 0, 0, 1, 70, 4096, 0]",50,0,50
baseline_random_search,7z,50,64,4381.8,"[2, 1, 1, 0, 1, 100, 128, 4]",50,0,50
baseline_random_search,7z,50,65,4557.6,"[2, 0, 1, 0, 1, 30, 512, 4]",50,0,50
baseline_random_search,7z,50,66,4641.6,"[2, 0, 1, 0, 1, 100, 64, 2]",50,0,50
baseline_random_search,7z,50,67,4924.4,"[2, 0, 0, 0, 0, 50, 64, 0]",50,0,50
baseline_random_search,7z,50,68,5477.2,"[2, 0, 0, 0, 1, 70, 4, 0]",50,0,50
baseline_random_search,7z,50,69,5518.0,"[2, 0, 0, 0, 1, 30, 4, 0]",50,0,50
baseline_random_search,7z,50,70,4357.8,"[2, 0, 1, 0, 1, 100, 4096, 4]",50,0,50
baseline_random_search,7z,50,71,4757.2,"[2, 0, 1, 0, 0, 70, 64, 0]",50,0,50
baseline_random_search,7z,100,42,4402.6,"[2, 0, 0, 0, 1, 70, 512, 4]",100,0,100
baseline_random_search,7z,100,43,4720.4,"[2, 0, 0, 0, 1, 60, 64, 0]",100,0,100
baseline_random_search,7z,100,44,5044.0,"[2, 0, 0, 0, 0, 20, 256, 2]",100,0,100
baseline_random_search,7z,100,45,4298.0,"[2, 1, 1, 0, 0, 80, 1024, 4]",100,0,100
baseline_random_search,7z,100,46,4701.0,"[2, 0, 1, 0, 1, 60, 256, 0]",100,0,100
baseline_random_search,7z,100,47,4695.0,"[2, 0, 1, 0, 0, 60, 64, 0]",100,0,100
baseline_random_search,7z,100,48,4446.4,"[2, 0, 0, 0, 1, 60, 128, 4]",100,0,100
baseline_random_search,7z,100,49,4693.6,"[2, 0, 0, 0, 1, 90, 256, 2]",100,0,100
baseline_random_search,7z,100,50,4693.0,"[2, 1, 1, 0, 0, 80, 4096, 2]",100,0,100
baseline_random_search,7z,100,51,4597.6,"[2, 0, 0, 0, 0, 30, 32, 4]",100,0,100
baseline_random_search,7z,100,52,4651.0,"[2, 0, 0, 0, 1, 100, 64, 0]",100,0,100
baseline_random_search,7z,100,53,4454.0,"[2, 0, 0, 0, 0, 70, 512, 4]",100,0,100
baseline_random_search,7z,100,54,4653.2,"[2, 0, 1, 0, 1, 90, 64, 2]",100,0,100
baseline_random_search,7z,100,55,4368.8,"[2, 0, 1, 0, 0, 70, 256, 4]",100,0,100
baseline_random_search,7z,100,56,4676.6,"[2, 1, 0, 0, 1, 100, 1024, 0]",100,0,100
baseline_random_search,7z,100,57,4708.8,"[2, 0, 1, 0, 0, 60, 2048, 0]",100,0,100
baseline_random_search,7z,100,58,4680.0,"[2, 0, 0, 0, 1, 90, 4096, 2]",100,0,100
baseline_random_search,7z,100,59,5022.0,"[2, 1, 1, 0, 1, 20, 128, 2]",100,0,100
baseline_random_search,7z,100,60,4605.2,"[2, 1, 0, 0, 0, 30, 512, 4]",100,0,100
baseline_random_search,7z,100,61,4533.4,"[2, 1, 1, 0, 1, 50, 1024, 4]",100,0,100
baseline_random_search,7z,100,62,4684.0,"[2, 1, 0, 0, 0, 90, 64, 0]",100,0,100
baseline_random_search,7z,100,63,4605.2,"[2, 0, 0, 0, 0, 60, 32, 4]",100,0,100
baseline_random_search,7z,100,64,4381.8,"[2, 1, 1, 0, 1, 100, 128, 4]",100,0,100
baseline_random_search,7z,100,65,4557.6,"[2, 0, 1, 0, 1, 30, 512, 4]",100,0,100
baseline_random_search,7z,100,66,4641.6,"[2, 0, 1, 0, 1, 100, 64, 2]",100,0,100
baseline_random_search,7z,100,67,4597.4,"[2, 1, 0, 0, 1, 30, 512, 4]",100,0,100
baseline_random_search,7z,100,68,4575.0,"[2, 0, 0, 0, 1, 30, 1024, 4]",100,0,100
baseline_random_search,7z,100,69,4855.0,"[2, 0, 1, 0, 0, 50, 1024, 2]",100,0,100
baseline_random_search,7z,100,70,4357.8,"[2, 0, 1, 0, 1, 100, 4096, 4]",100,0,100
baseline_random_search,7z,100,71,4757.2,"[2, 0, 1, 0, 0, 70, 64, 0]",100,0,100
baseline_random_search,Apache,50,42,31.1458,"[0, 1, 2, 2, 0, 0, 512, 0]",50,139,189
baseline_random_search,Apache,50,43,31.1244,"[1, 1, 2, 2, 1, 0, 512, 0]",50,115,165
baseline_random_search,Apache,50,44,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",50,97,147
baseline_random_search,Apache,50,45,31.4174,"[0, 1, 2, 0, 1, 0, 1024, 0]",50,127,177
baseline_random_search,Apache,50,46,31.2796,"[1, 1, 2, 0, 0, 1, 512, 0]",50,161,211
baseline_random_search,Apache,50,47,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",50,134,184
baseline_random_search,Apache,50,48,31.283,"[0, 1, 2, 1, 0, 0, 1024, 0]",50,131,181
baseline_random_search,Apache,50,49,31.4676,"[0, 1, 2, 2, 0, 0, 4096, 0]",50,139,189
baseline_random_search,Apache,50,50,31.6068,"[0, 1, 2, 2, 1, 1, 4096, 0]",50,140,190
baseline_random_search,Apache,50,51,30.7448,"[0, 1, 2, 1, 0, 0, 512, 0]",50,102,152
baseline_random_search,Apache,50,52,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",50,117,167
baseline_random_search,Apache,50,53,31.3186,"[0, 1, 2, 0, 0, 0, 512, 0]",50,130,180
baseline_random_search,Apache,50,54,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",50,129,179
baseline_random_search,Apache,50,55,31.6904,"[0, 1, 2, 0, 1, 0, 4096, 0]",50,139,189
baseline_random_search,Apache,50,56,31.2602,"[0, 1, 2, 2, 0, 0, 1024, 0]",50,149,199
baseline_random_search,Apache,50,57,31.6068,"[0, 1, 2, 2, 1, 1, 4096, 0]",50,155,205
baseline_random_search,Apache,50,58,31.2602,"[0, 1, 2, 2, 0, 0, 1024, 0]",50,110,160
baseline_random_search,Apache,50,59,31.2232,"[0, 1, 2, 0, 0, 0, 1024, 0]",50,147,197
baseline_random_search,Apache,50,60,31.2602,"[0, 1, 2, 2, 0, 0, 1024, 0]",50,128,178
baseline_random_search,Apache,50,61,30.7448,"[0, 1, 2, 1, 0, 0, 512, 0]",50,127,177
baseline_random_search,Apache,50,62,31.1458,"[0, 1, 2, 2, 0, 0, 512, 0]",50,171,221
baseline_random_search,Apache,50,63,32.0282,"[0, 1, 2, 2, 0, 1, 2048, 0]",50,162,212
baseline_random_search,Apache,50,64,31.1622,"[1, 1, 2, 0, 0, 0, 4096, 0]",50,146,196
baseline_random_search,Apache,50,65,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",50,100,150
baseline_random_search,Apache,50,66,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",50,138,188
baseline_random_search,Apache,50,67,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",50,101,151
baseline_random_search,Apache,50,68,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",50,147,197
baseline_random_search,Apache,50,69,31.2232,"[0, 1, 2, 0, 0, 0, 1024, 0]",50,122,172
baseline_random_search,Apache,50,70,31.1244,"[1, 1, 2, 2, 1, 0, 512, 0]",50,173,223
baseline_random_search,Apache,50,71,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",50,132,182
baseline_random_search,Apache,100,42,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",100,285,385
baseline_random_search,Apache,100,43,31.1244,"[1, 1, 2, 2, 1, 0, 512, 0]",100,229,329
baseline_random_search,Apache,100,44,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",100,214,314
baseline_random_search,Apache,100,45,31.2602,"[0, 1, 2, 2, 0, 0, 1024, 0]",100,270,370
baseline_random_search,Apache,100,46,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",100,286,386
baseline_random_search,Apache,100,47,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",100,258,358
baseline_random_search,Apache,100,48,31.283,"[0, 1, 2, 1, 0, 0, 1024, 0]",100,283,383
baseline_random_search,Apache,100,49,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",100,235,335
baseline_random_search,Apache,100,50,31.4174,"[0, 1, 2, 0, 1, 0, 1024, 0]",100,299,399
baseline_random_search,Apache,100,51,30.7448,"[0, 1, 2, 1, 0, 0, 512, 0]",100,237,337
baseline_random_search,Apache,100,52,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",100,217,317
baseline_random_search,Apache,100,53,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",100,236,336
baseline_random_search,Apache,100,54,30.7448,"[0, 1, 2, 1, 0, 0, 512, 0]",100,276,376
baseline_random_search,Apache,100,55,31.6904,"[0, 1, 2, 0, 1, 0, 4096, 0]",100,281,381
baseline_random_search,Apache,100,56,31.2602,"[0, 1, 2, 2, 0, 0, 1024, 0]",100,292,392
baseline_random_search,Apache,100,57,31.6068,"[0, 1, 2, 2, 1, 1, 4096, 0]",100,284,384
baseline_random_search,Apache,100,58,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",100,223,323
baseline_random_search,Apache,100,59,31.2232,"[0, 1, 2, 0, 0, 0, 1024, 0]",100,254,354
baseline_random_search,Apache,100,60,31.03,"[0, 1, 2, 1, 1, 0, 512, 0]",100,243,343
baseline_random_search,Apache,100,61,30.7448,"[0, 1, 2, 1, 0, 0, 512, 0]",100,238,338
baseline_random_search,Apache,100,62,31.03,"[0, 1, 2, 1, 1, 0, 512, 0]",100,311,411
baseline_random_search,Apache,100,63,31.1458,"[0, 1, 2, 2, 0, 0, 512, 0]",100,268,368
baseline_random_search,Apache,100,64,31.1622,"[1, 1, 2, 0, 0, 0, 4096, 0]",100,267,367
baseline_random_search,Apache,100,65,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",100,202,302
baseline_random_search,Apache,100,66,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",100,295,395
baseline_random_search,Apache,100,67,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",100,222,322
baseline_random_search,Apache,100,68,31.0888,"[0, 1, 2, 2, 1, 0, 1024, 0]",100,257,357
baseline_random_search,Apache,100,69,31.03,"[0, 1, 2, 1, 1, 0, 512, 0]",100,257,357
baseline_random_search,Apache,100,70,31.0946,"[0, 1, 2, 0, 1, 0, 512, 0]",100,309,409
baseline_random_search,Apache,100,71,30.8186,"[0, 1, 2, 2, 1, 0, 512, 0]",100,256,356
baseline_random_search,LLVM,50,42,58722.2,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",50,0,50
baseline_random_search,LLVM,50,43,59757.8,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",50,0,50
baseline_random_search,LLVM,50,44,58020.6,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,45,59777.8,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",50,0,50
baseline_random_search,LLVM,50,46,58959.4,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,47,57931.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,48,59451.4,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1]",50,0,50
baseline_random_search,LLVM,50,49,60858.4,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0]",50,0,50
baseline_random_search,LLVM,50,50,60671.8,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",50,0,50
baseline_random_search,LLVM,50,51,63049.6,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]",50,0,50
baseline_random_search,LLVM,50,52,60035.8,"[0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,53,56929.8,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,54,58368.4,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",50,0,50
baseline_random_search,LLVM,50,55,59257.2,"[1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]",50,0,50
baseline_random_search,LLVM,50,56,61332.6,"[1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",50,0,50
baseline_random_search,LLVM,50,57,63943.6,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",50,0,50
baseline_random_search,LLVM,50,58,53887.2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",50,0,50
baseline_random_search,LLVM,50,59,62492.4,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,60,58096.6,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",50,0,50
baseline_random_search,LLVM,50,61,65487.6,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1]",50,0,50
baseline_random_search,LLVM,50,62,58482.4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,63,59458.0,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,64,62090.6,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]",50,0,50
baseline_random_search,LLVM,50,65,57690.4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,66,61959.6,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1]",50,0,50
baseline_random_search,LLVM,50,67,58698.4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",50,0,50
baseline_random_search,LLVM,50,68,60495.8,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]",50,0,50
baseline_random_search,LLVM,50,69,61788.0,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,70,59147.4,"[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",50,0,50
baseline_random_search,LLVM,50,71,59297.6,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",50,0,50
baseline_random_search,LLVM,100,42,58722.2,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",100,0,100
baseline_random_search,LLVM,100,43,59757.8,"[0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,44,58020.6,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",100,0,100
baseline_random_search,LLVM,100,45,59777.8,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,46,58959.4,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]",100,0,100
baseline_random_search,LLVM,100,47,57931.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0]",100,0,100
baseline_random_search,LLVM,100,48,56908.2,"[0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",100,0,100
baseline_random_search,LLVM,100,49,55568.2,"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,50,60671.8,"[0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,51,58435.2,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,52,58776.6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,53,56929.8,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",100,0,100
baseline_random_search,LLVM,100,54,58368.4,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]",100,0,100
baseline_random_search,LLVM,100,55,57907.6,"[1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]",100,0,100
baseline_random_search,LLVM,100,56,60146.6,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",100,0,100
baseline_random_search,LLVM,100,57,59203.6,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0]",100,0,100
baseline_random_search,LLVM,100,58,53887.2,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,59,60418.2,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]",100,0,100
baseline_random_search,LLVM,100,60,58096.6,"[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,61,57527.0,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",100,0,100
baseline_random_search,LLVM,100,62,58482.4,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]",100,0,100
baseline_random_search,LLVM,100,63,59458.0,"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0]",100,0,100
