new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
1,1,0,1,0,100,8,4,12184.8
3,0,1,0,1,30,32,10,48680.2
5,1,0,0,1,60,4096,2,9162.8
5,1,1,1,1,10,16,2,9173.4
5,0,1,1,0,0,4096,10,299044.0
3,1,1,1,0,80,64,10,48569.2
5,0,0,1,0,0,32,2,9304.0
2,0,0,0,1,90,64,4,4382.8
1,0,0,1,0,100,64,2,17739.2
4,0,1,1,0,30,1024,0,35652.0
4,0,0,0,0,80,8,6,22234.4
2,0,0,1,1,90,512,0,17688.8
1,0,0,0,1,90,64,4,11798.0
3,0,0,0,1,90,64,4,12303.4
2,1,0,0,1,90,64,4,4363.8
2,0,1,0,1,90,64,4,4349.0
2,0,0,1,1,90,64,4,11840.0
2,0,0,0,0,90,64,4,4390.2
2,0,0,0,1,80,64,4,4372.6
2,0,0,0,1,100,64,4,4238.4
2,0,0,0,1,90,32,4,4408.6
2,0,0,0,1,90,128,4,4335.8
2,0,0,0,1,90,64,2,4698.0
2,0,0,0,1,90,64,6,89491.8
1,0,0,0,1,100,64,4,11814.8
3,0,0,0,1,100,64,4,12184.4
2,1,0,0,1,100,64,4,4241.4
2,0,1,0,1,100,64,4,4215.8
2,0,0,1,1,100,64,4,11866.0
2,0,0,0,0,100,64,4,4224.2
2,0,0,0,1,100,32,4,4638.6
2,0,0,0,1,100,128,4,4384.0
2,0,0,0,1,100,64,2,4681.2
2,0,0,0,1,100,64,6,89384.0
3,0,0,1,1,100,128,4,12162.4
3,1,0,0,0,100,64,4,12270.0
1,0,1,0,1,100,64,4,11745.0
3,0,1,0,1,100,64,4,12154.2
2,1,1,0,1,100,64,4,4222.6
2,0,1,1,1,100,64,4,11778.4
2,0,1,0,0,100,64,4,4196.4
2,0,1,0,1,100,32,4,4628.6
2,0,1,0,1,100,128,4,4372.4
2,0,1,0,1,100,64,2,4641.6
2,0,1,0,1,100,64,6,89176.2
2,0,1,0,1,100,128,2,4657.8
2,1,1,1,1,90,64,4,11857.2
2,0,1,0,1,90,64,2,4653.2
1,0,1,0,0,100,64,4,11727.6
3,0,1,0,0,100,64,4,12242.8
2,1,1,0,0,100,64,4,4200.6
2,0,1,1,0,100,64,4,11853.2
2,0,1,0,0,90,64,4,4342.2
2,0,1,0,0,100,32,4,4597.0
2,0,1,0,0,100,128,4,4385.6
2,0,1,0,0,100,64,2,4625.8
2,0,1,0,0,100,64,6,89765.6
2,0,0,0,0,100,32,4,4639.0
3,0,1,0,0,100,64,6,10659.8
2,1,0,0,0,90,64,4,4373.6
2,1,0,1,0,80,4,6,103492.0
3,0,1,0,1,10,32,8,39245.0
5,1,0,0,1,60,1024,2,9157.6
1,0,1,1,1,50,1024,6,91011.8
1,0,0,0,1,60,32,8,99529.6
3,0,0,0,0,70,4,0,12903.6
5,1,1,1,1,10,8,6,47371.6
4,1,1,1,1,80,64,8,124711.6
1,0,0,1,1,0,4096,10,131483.2
3,1,0,0,1,100,64,10,48541.0
3,1,0,0,0,70,128,0,12278.2
3,1,1,1,0,10,512,6,11758.6
3,0,0,0,0,100,64,4,12123.0
2,0,1,0,1,100,128,6,88374.4
3,1,1,0,0,100,32,4,12162.6
2,0,0,0,0,100,128,4,4386.8
3,0,1,0,0,100,32,6,10796.6
1,0,0,0,0,100,64,4,11711.0
2,0,0,0,0,100,64,2,4709.4
2,0,1,0,0,90,32,4,4402.0
2,1,0,0,0,100,64,4,4224.0
1,0,1,0,0,90,64,2,17673.2
3,0,0,0,0,100,64,2,12278.8
1,0,1,1,0,90,64,4,11766.6
2,1,0,1,0,100,1,6,116295.4
3,0,1,0,1,20,64,8,38494.0
5,0,0,0,0,70,2048,2,9201.6
3,1,0,1,1,0,16,6,20830.4
5,1,0,0,1,70,8,0,9138.6
1,0,0,0,1,100,64,6,89756.0
1,1,1,0,1,70,16,4,11913.8
5,0,1,0,0,10,1,6,47191.4
1,1,0,0,0,80,1,8,83259.2
1,1,1,0,0,20,1024,0,17737.2
2,0,1,0,1,40,512,4,4573.4
5,0,0,1,0,80,512,6,48071.8
3,0,1,0,0,100,32,4,12147.2
3,0,1,0,1,100,32,4,12143.0
2,1,1,0,1,90,64,4,4370.6
2,0,0,1,0,90,64,4,11835.8
