new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,1,0,0,1,1024,5,337.4748
1,2,2,1,1,0,2048,9,165.8198
1,0,1,2,0,0,4096,0,337.4748
1,0,2,1,0,0,4096,0,165.9296
0,2,1,2,0,1,512,5,337.4748
1,0,1,2,0,0,512,5,337.4748
0,2,2,0,1,1,2048,9,165.2694
1,1,1,0,0,1,1024,5,337.4748
0,0,2,2,1,0,4096,0,163.2174
1,0,2,2,0,1,1024,9,337.4748
0,0,2,1,1,1,1024,9,337.4748
1,1,2,2,1,0,4096,9,337.4748
1,0,2,2,1,0,4096,0,167.6958
0,1,2,2,1,0,4096,0,31.3372
0,0,1,2,1,0,4096,0,337.4748
0,0,2,1,1,0,4096,0,164.5762
0,0,2,2,0,0,4096,0,167.2748
0,0,2,2,1,1,4096,0,165.2914
0,0,2,2,1,0,2048,0,164.9596
0,0,2,2,1,0,4096,1,337.4748
1,0,2,1,1,0,4096,0,165.7688
1,0,2,2,1,1,4096,0,162.7602
1,0,2,2,1,0,2048,0,165.18
0,0,2,2,0,0,4096,1,337.4748
1,1,2,2,1,0,4096,0,31.862
0,2,2,2,1,0,4096,0,337.4748
0,1,1,2,1,0,4096,0,337.4748
0,1,2,1,1,0,4096,0,32.1888
0,1,2,2,0,0,4096,0,31.4676
0,1,2,2,1,1,4096,0,31.6068
0,1,2,2,1,0,2048,0,31.2782
0,1,2,2,1,0,4096,1,337.4748
0,1,1,1,1,0,2048,0,337.4748
0,0,2,1,1,1,4096,0,164.5404
0,1,2,2,0,0,2048,0,31.9334
0,1,2,2,1,1,4096,1,337.4748
1,1,2,2,1,0,2048,0,32.0026
0,2,2,2,1,0,2048,0,337.4748
0,1,1,2,1,0,2048,0,337.4748
0,1,2,1,1,0,2048,0,31.9244
0,1,2,2,1,1,2048,0,31.832
0,1,2,2,1,0,1024,0,31.0888
0,1,2,2,1,0,2048,1,337.4748
0,2,2,1,0,0,2048,0,337.4748
1,1,2,2,1,1,2048,1,337.4748
0,1,2,1,0,0,2048,0,31.6962
0,1,1,2,0,0,2048,1,337.4748
0,1,1,1,1,0,1024,0,337.4748
1,1,2,2,1,0,1024,0,31.7822
0,0,2,2,1,0,1024,0,161.9528
0,2,2,2,1,0,1024,0,337.4748
0,1,1,2,1,0,1024,0,337.4748
0,1,2,1,1,0,1024,0,31.5162
0,1,2,2,0,0,1024,0,31.2602
0,1,2,2,1,1,1024,0,32.2096
0,1,2,2,1,0,512,0,30.8186
0,1,2,2,1,0,1024,1,337.4748
0,1,2,1,1,1,2048,0,32.8896
