ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,82945.6
1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,74693.4
1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,71863.8
1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,82221.0
0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,76418.8
1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,64995.4
0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,73426.6
1,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,80345.2
1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,86097.4
1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,80341.0
0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,80852.6
0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,64692.6
1,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,65478.0
0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,1,64965.4
0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,71954.8
0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,80010.0
0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,63958.8
0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,66603.4
0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,70907.6
0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,63972.8
0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,63823.4
0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,71387.6
0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,67895.0
0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,64208.6
1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,64083.2
0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,63395.8
0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,70271.0
0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,78221.4
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,62524.4
0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,1,65155.6
0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,68780.6
0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,62451.6
0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,69300.0
0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,66506.6
0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,62768.8
0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,62000.2
1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,62636.0
0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,62095.2
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,68949.4
0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,76956.0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,61187.8
0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,63748.8
0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,67718.4
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,61182.2
0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,63426.4
0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,67785.0
0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,65070.4
0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58912.0
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,59364.8
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,58752.2
0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,64218.2
0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,73263.2
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,57008.0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,60410.0
0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,63181.6
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,59045.2
0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,59657.4
0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,64991.2
0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,61283.8
0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,61967.6
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,57788.6
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,57112.6
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,63618.0
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,71669.0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,60493.4
0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,61165.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57505.6
0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,58281.8
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,63325.6
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,60080.6
0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,61329.8
0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,60558.0
1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,84441.0
0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,59777.8
0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,57691.6
0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,81271.0
0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,80955.4
0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,74742.8
1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,86720.4
0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,102340.0
0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,80598.0
0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,92336.6
1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,73236.8
1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,75264.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,57495.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53429.4
0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,65800.8
0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,61440.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,54845.4
0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,65178.8
0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,64976.8
0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,58306.4
0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,62876.6
0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,76872.0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,61598.8
0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,66743.2
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53862.8
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,53727.6
0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,59413.8
0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,67428.8
