fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,1,0,256,2,1024,46350.2
1,0,1,0,1,64,8,4096,135161.2
1,0,0,1,1,128,32,256,135614.0
1,0,0,0,0,128,2,256,133624.8
1,0,1,1,1,128,2,1024,137186.6
0,1,1,1,0,64,32,1024,46801.8
1,1,1,0,0,128,2,1024,135272.2
1,0,1,1,1,64,2,1024,135739.2
0,1,0,1,1,256,2,256,46319.0
0,0,0,0,1,128,32,4096,46304.6
1,0,1,0,1,256,2,1024,134831.6
1,1,0,0,1,256,32,4096,134608.6
1,0,0,0,1,128,32,4096,132338.6
0,1,0,0,1,128,32,4096,46213.6
0,0,1,0,1,128,32,4096,46408.8
0,0,0,1,1,128,32,4096,46343.6
0,0,0,0,0,128,32,4096,46476.2
0,0,0,0,1,64,32,4096,46073.6
0,0,0,0,1,256,32,4096,46070.8
0,0,0,0,1,128,8,4096,46212.2
0,0,0,0,1,128,32,1024,46299.2
0,0,1,1,1,128,32,4096,46593.6
0,1,0,0,1,128,32,1024,46405.0
0,0,1,0,1,128,32,1024,47486.6
1,0,0,0,1,256,32,4096,129652.6
0,1,0,0,1,256,32,4096,46104.2
0,0,1,0,1,256,32,4096,47000.2
0,0,0,1,1,256,32,4096,46507.4
0,0,0,0,0,256,32,4096,46042.4
0,0,0,0,1,256,8,4096,46282.0
0,0,0,0,1,256,32,1024,46176.6
0,0,1,1,1,256,32,4096,46299.2
0,1,0,0,1,256,8,4096,46133.4
0,1,0,0,1,256,32,1024,46191.2
0,1,0,0,0,256,32,4096,46039.0
0,0,1,0,0,256,32,1024,46212.8
1,1,0,0,0,256,32,4096,132785.6
0,1,1,0,0,256,32,4096,46191.2
0,1,0,1,0,256,32,4096,46756.0
0,1,0,0,0,128,32,4096,46197.8
0,1,0,0,0,256,8,4096,46102.0
0,1,0,0,0,256,32,1024,46094.8
0,0,0,0,0,256,32,1024,46256.6
0,1,0,0,0,128,8,1024,45980.8
1,1,1,1,0,256,32,4096,134654.6
1,1,1,0,0,256,32,4096,131082.0
0,1,0,1,1,256,32,1024,46390.0
0,1,0,0,0,128,32,1024,46341.0
1,1,0,0,0,128,8,1024,136315.0
0,0,0,0,0,128,8,1024,46208.0
0,1,1,0,0,128,8,1024,46539.2
0,1,0,1,0,128,8,1024,46356.0
0,1,0,0,1,128,8,1024,46124.2
0,1,0,0,0,64,8,1024,46294.0
0,1,0,0,0,256,8,1024,46097.6
0,1,0,0,0,128,2,1024,46240.8
0,1,0,0,0,128,8,256,46318.0
0,1,0,0,0,128,8,4096,46379.2
1,1,1,0,0,128,8,1024,133603.0
0,1,0,0,0,128,32,256,46158.4
0,1,1,1,1,64,8,1024,46751.8
1,0,0,0,1,256,8,4096,131261.2
0,1,0,1,0,128,32,256,47359.0
0,1,1,0,0,256,8,4096,46382.8
1,1,1,1,1,256,8,256,136030.6
1,1,1,1,0,256,2,256,129518.8
0,1,0,0,1,128,2,1024,46099.4
0,0,1,1,0,256,8,4096,46502.6
0,0,0,1,1,64,2,1024,46426.0
1,1,1,1,1,128,8,1024,130226.0
1,0,0,0,1,64,8,256,133634.4
0,1,0,1,0,256,8,1024,46598.6
0,0,1,1,0,128,8,1024,47024.0
1,1,0,0,0,256,2,1024,132971.6
0,1,0,0,1,64,2,1024,46267.8
1,1,0,0,0,128,8,256,125404.4
0,1,0,1,0,128,2,1024,46599.4
0,1,0,0,1,256,8,1024,46358.2
1,0,0,0,1,128,8,1024,130543.6
0,1,0,0,1,128,8,4096,46303.0
0,1,1,0,1,128,8,1024,46188.8
0,0,1,0,0,128,8,1024,46245.0
1,1,1,1,0,128,8,1024,129666.0
0,1,1,1,1,128,8,1024,46970.2
0,1,0,1,1,64,8,1024,47491.4
1,1,0,1,0,256,32,1024,134381.0
0,0,0,1,1,128,32,256,46408.2
1,1,1,1,1,256,2,1024,129201.2
0,0,0,0,1,64,8,1024,46184.4
0,1,1,1,1,128,2,256,46463.2
0,0,1,0,0,256,8,256,46381.6
1,0,1,0,1,128,32,4096,138524.6
0,0,1,0,1,256,32,256,46282.0
1,0,0,0,1,128,2,256,135331.6
1,0,0,0,1,64,8,1024,134427.4
0,0,1,1,0,256,32,4096,47278.0
1,0,0,0,0,128,8,256,133984.8
0,1,0,1,0,128,2,256,46584.8
0,1,1,0,0,128,2,1024,47200.2
0,1,0,0,0,64,2,256,46500.4
