WindowSize,CompressionLevel,Performance
13,4,2.972
19,9,14.048
23,1,1.572
14,8,6.086
11,4,3.04
13,10,313.652
16,11,284.296
14,2,1.9
10,7,4.874
14,10,301.488
10,4,3.02
19,4,2.8
22,1,1.586
24,1,1.57
23,0,1.556
23,2,2.032
22,0,1.596
24,0,1.574
24,2,2.04
22,2,2.05
22,5,7.198
15,11,292.192
15,0,1.534
22,3,2.5
11,8,5.042
14,6,4.874
13,5,4.128
22,10,256.21
14,5,4.678
20,4,2.808
16,7,6.998
15,9,8.084
14,0,1.472
16,0,1.59
15,1,1.52
14,1,1.46
16,1,1.598
13,1,1.514
13,2,1.942
15,2,1.972
13,0,1.514
12,6,3.846
17,8,8.454
21,0,1.604
16,6,5.77
10,10,363.364
11,10,343.594
12,0,1.528
18,7,8.628
17,3,2.564
19,5,7.372
19,8,11.508
15,8,6.738
13,6,4.3
17,10,307.144
21,3,2.512
10,8,5.046
24,11,394.158
16,8,7.548
10,6,3.386
12,3,2.426
13,11,315.078
12,8,5.318
21,5,7.272
19,0,1.614
18,10,279.698
21,1,1.598
23,6,10.22
16,4,2.77
16,10,285.0
15,3,2.392
11,9,6.286
21,6,10.46
17,7,7.636
22,6,10.266
14,3,2.302
24,3,2.478
18,8,9.684
20,0,1.63
16,5,5.392
14,11,301.078
23,5,7.178
11,11,343.996
16,2,2.026
11,0,1.526
20,6,10.658
17,6,6.34
10,9,6.246
19,2,2.1
14,7,5.896
15,10,291.618
21,2,2.06
15,5,5.072
12,4,3.004
23,9,63.68
19,3,2.552
24,8,38.644
24,6,10.176
21,4,2.768
17,11,307.42
