topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,2,1000000,1,1,1,1000,512,10000,2,29,0.00251517342713
4,1,4,10,10,0,1000,10,1024,100,5,0,0.188169561091
2,10,2,10,10,0,1,10,1024,100,5,0,0.134529776957
2,10,4,1000000,1,1,1,10,512,100,5,0,0.00102540638367
2,10,2,1000000,10,1,1000,1000,512,100,5,0,2.0
2,10,4,10,10,0,1000,1000,512,10000,5,0,0.333326524526
2,10,2,10,10,0,1000,1000,512,10000,5,29,0.293418743012
4,10,2,10,1,0,1,10,1024,10000,5,29,2.0
2,1,4,1000000,10,1,1,10,1024,100,5,29,2.0
4,1,4,10,10,0,1,1000,512,100,2,0,2.0
2,1,4,1000000,10,1,1000,10,512,100,5,0,2.0
4,10,4,1000000,10,0,1,10,512,100,5,0,2.72352293138e-06
2,10,4,1000000,10,0,1,10,512,100,5,0,2.0
4,1,4,1000000,10,0,1,10,512,100,5,0,5.44704586276e-06
4,10,2,1000000,10,0,1,10,512,100,5,0,0.000241031779427
4,10,4,10,10,0,1,10,512,100,5,0,0.0780779553969
4,10,4,1000000,1,0,1,10,512,100,5,0,0.000894677282959
4,10,4,1000000,10,1,1,10,512,100,5,0,6.80880732846e-06
4,10,4,1000000,10,0,1000,10,512,100,5,0,2.0
4,10,4,1000000,10,0,1,1000,512,100,5,0,2.0
4,10,4,1000000,10,0,1,10,1024,100,5,0,2.0
4,10,4,1000000,10,0,1,10,512,10000,5,0,2.0
4,10,4,1000000,10,0,1,10,512,100,2,0,2.0
4,10,4,1000000,10,0,1,10,512,100,5,29,2.0
2,10,4,1000000,10,1,1,10,1024,10000,2,0,2.0
4,10,4,1000000,1,0,1000,1000,512,100,2,0,2.0
2,10,2,1000000,10,0,1000,1000,1024,100,5,0,2.0
2,1,2,10,10,1,1000,10,512,100,5,29,0.333447721296
4,10,4,1000000,10,1,1000,10,512,10000,2,29,2.0
2,10,2,1000000,10,0,1,1000,512,10000,5,29,2.0
2,1,4,1000000,1,0,1,1000,512,10000,5,0,0.000769395228115
4,1,2,1000000,1,0,1,10,512,10000,2,29,2.0
4,1,4,10,10,0,1,1000,512,100,5,29,2.0
4,1,2,10,10,1,1000,1000,1024,10000,2,0,0.54452211024
2,10,2,1000000,10,0,1000,1000,512,100,2,29,2.0
4,10,2,1000000,1,0,1000,1000,512,100,5,0,2.0
4,10,4,1000000,10,0,1000,1000,512,100,5,0,2.0
4,1,4,10,10,0,1,10,512,100,2,0,0.14637846347
2,10,2,1000000,10,0,1,10,512,100,5,0,2.0
4,10,4,1000000,10,0,1,1000,512,10000,5,0,1.90646605197e-05
2,10,4,10,1,0,1,10,512,100,5,0,0.0148309441228
4,10,4,10,10,1,1,10,512,10000,5,0,2.0
2,10,4,10,10,0,1000,10,512,100,5,0,0.322014372031
4,10,4,1000000,10,0,1,1000,512,100,2,0,2.0
4,10,4,1000000,1,0,1,1000,512,10000,5,0,0.000875612622439
4,10,2,1000000,10,0,1,10,512,10000,5,29,2.0
4,10,4,1000000,1,0,1,10,1024,100,5,0,0.000881059668302
4,10,2,1000000,10,1,1,1000,512,100,5,0,2.0
2,10,2,1000000,1,0,1,1000,512,100,2,29,2.0
4,1,2,1000000,10,1,1,10,1024,10000,5,29,2.0
2,10,4,1000000,10,1,1,10,512,100,5,0,2.0
4,10,2,1000000,10,1,1,10,512,10000,5,29,2.0
2,1,4,10,1,1,1000,1000,512,10000,5,29,0.388579995996
2,1,4,1000000,1,1,1000,10,512,100,2,29,7.62586420787e-05
2,10,2,1000000,1,1,1,10,1024,10000,2,29,2.0
2,1,4,10,10,0,1000,1000,512,100,5,0,2.0
2,10,4,10,10,1,1,1000,1024,10000,2,29,0.148709799099
2,1,2,10,1,1,1000,1000,1024,10000,2,29,0.860604649326
2,1,4,10,10,0,1000,1000,512,100,5,29,2.0
4,10,2,10,10,0,1,1000,512,10000,2,0,0.144429782813
4,10,4,1000000,10,0,1,10,1024,100,2,0,0.00314975427014
4,10,4,10,10,0,1,1000,512,100,5,29,2.0
2,10,2,1000000,10,1,1,10,512,100,5,0,2.0
4,1,4,1000000,10,0,1,1000,512,100,5,0,2.0
4,10,4,10,10,0,1,10,512,100,2,0,0.140114360728
2,10,4,1000000,10,0,1000,10,512,100,5,0,2.0
4,1,4,1000000,10,0,1,10,512,100,2,29,0.00560909547718
2,10,4,1000000,10,0,1,10,512,100,5,29,2.0
4,1,2,1000000,10,0,1,10,512,100,5,0,0.000708115962159
4,10,4,1000000,1,0,1,1000,1024,100,5,0,2.0
4,10,2,10,10,0,1,10,1024,100,5,0,0.0801274064027
4,1,4,1000000,1,0,1,10,512,10000,5,0,2.0
4,10,2,1000000,10,0,1000,10,512,10000,5,0,2.0
2,10,4,10,10,1,1000,10,1024,10000,5,0,2.0
4,1,2,1000000,1,0,1,10,512,100,2,0,0.0032069482517
4,10,4,1000000,1,1,1,1000,512,10000,5,29,0.0
2,1,2,10,1,0,1,10,1024,10000,5,29,2.0
4,1,4,1000000,1,0,1000,1000,1024,10000,5,0,2.0
4,1,2,10,10,1,1,10,512,10000,5,0,2.0
4,1,4,1000000,10,1,1000,1000,1024,100,2,29,2.0
4,10,2,1000000,10,0,1000,10,512,100,5,0,2.0
2,1,4,1000000,1,1,1000,10,512,100,5,0,2.0
4,1,4,10,1,0,1,1000,1024,10000,5,0,0.0145191007472
4,1,2,10,10,0,1,10,1024,100,2,29,0.144944528647
2,10,4,1000000,1,1,1,1000,512,10000,5,29,0.000979106493832
