new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,2,3,1,0,1,0,1,0,1,128.37
3,3,1,0,1,0,1,0,1,0,58.308
4,1,2,1,1,0,0,1,1,0,23.12
4,3,1,0,1,1,1,1,1,1,44.68
3,3,1,0,0,0,0,1,1,0,54.894
4,3,2,1,0,0,1,0,0,1,47.678
4,2,3,0,1,1,0,1,0,1,36.114
4,2,2,1,0,1,0,1,1,1,30.378
1,2,2,1,1,1,0,1,0,0,126.148
4,2,1,0,0,0,0,0,0,0,33.69
4,1,3,0,0,1,0,0,1,1,24.672
4,2,3,1,0,1,0,0,1,0,29.81
3,1,2,1,1,0,0,1,1,0,30.792
4,2,2,1,1,0,0,1,1,0,29.734
4,1,1,1,1,0,0,1,1,0,22.996
4,1,3,1,1,0,0,1,1,0,22.934
4,1,2,0,1,0,0,1,1,0,24.882
4,1,2,1,0,0,0,1,1,0,23.582
4,1,2,1,1,1,0,1,1,0,23.456
4,1,2,1,1,0,1,1,1,0,23.194
4,1,2,1,1,0,0,0,1,0,22.394
4,1,2,1,1,0,0,1,0,0,22.78
4,1,2,1,1,0,0,1,1,1,22.904
4,2,3,1,1,1,0,1,1,0,29.758
3,1,2,1,1,0,0,0,1,0,29.24
4,2,2,1,1,0,0,0,1,0,28.9
4,1,1,1,1,0,0,0,1,0,21.556
4,1,3,1,1,0,0,0,1,0,23.06
4,1,2,0,1,0,0,0,1,0,23.86
4,1,2,1,0,0,0,0,1,0,23.148
4,1,2,1,1,1,0,0,1,0,22.854
4,1,2,1,1,0,1,0,1,0,22.554
4,1,2,1,1,0,0,0,0,0,22.312
4,1,2,1,1,0,0,0,1,1,22.29
4,2,2,1,1,0,0,0,0,0,31.846
3,2,2,1,1,0,0,0,1,0,38.054
3,1,1,1,1,0,0,0,1,0,28.77
4,2,1,1,1,0,0,0,1,0,28.016
4,1,1,0,1,0,0,0,1,0,23.434
4,1,1,1,0,0,0,0,1,0,22.452
4,1,1,1,1,1,0,0,1,0,21.698
4,1,1,1,1,0,1,0,1,0,79.142
4,1,1,1,1,0,0,0,0,0,21.636
4,1,1,1,1,0,0,0,1,1,21.586
4,1,1,1,1,0,0,1,1,1,23.586
4,1,1,0,1,0,0,0,1,1,23.266
3,1,1,1,1,1,1,0,1,0,29.078
4,1,1,1,0,1,1,0,1,0,22.396
2,2,3,1,0,1,0,1,0,1,67.63
3,3,1,1,0,0,1,0,0,1,66.616
4,1,2,1,0,0,1,0,1,0,23.398
2,3,2,0,0,1,0,0,1,1,75.538
4,1,1,0,0,1,0,1,1,1,25.442
3,2,1,1,0,1,1,1,0,1,51.058
1,2,1,0,0,1,1,1,1,1,125.576
4,2,1,1,0,0,0,1,0,1,34.428
1,1,2,1,0,1,0,1,0,0,88.254
2,1,2,1,1,0,1,1,0,1,46.916
3,2,3,0,0,0,0,0,0,1,46.666
3,2,2,1,0,0,1,0,1,1,42.066
4,2,1,1,1,1,0,0,1,0,28.338
3,1,1,1,1,1,0,0,1,0,28.674
4,1,2,1,1,1,0,0,1,1,22.452
4,1,1,1,0,0,0,1,1,1,23.768
4,2,1,1,1,1,0,0,1,1,28.068
4,1,1,0,1,0,1,0,1,1,23.386
4,1,1,0,1,1,0,0,1,0,23.248
3,1,1,1,1,0,0,0,0,1,28.7
3,1,1,1,0,0,1,0,1,0,29.898
4,1,1,0,0,0,0,0,0,0,23.434
4,1,1,1,1,0,1,0,1,1,21.772
4,2,2,1,1,0,1,0,1,0,30.84
4,2,3,1,0,1,1,0,0,1,35.498
3,1,3,1,1,1,0,1,1,1,30.892
4,1,2,0,0,1,0,1,0,0,24.858
4,1,2,0,0,0,1,0,1,1,24.466
2,1,2,0,1,1,0,0,1,0,45.218
3,1,2,0,0,0,0,0,1,1,31.704
3,3,3,1,0,0,1,1,1,1,59.366
1,1,2,1,1,0,1,0,1,1,79.7
1,3,2,1,0,0,0,0,0,1,157.648
1,2,3,1,1,0,1,0,0,0,122.932
4,2,2,0,0,1,1,0,0,0,36.582
3,2,1,0,1,1,1,0,0,0,49.374
3,1,1,0,1,0,0,0,0,0,31.298
3,2,1,1,1,0,0,0,1,0,37.598
4,2,1,1,1,0,0,1,1,1,29.814
3,2,1,1,1,0,0,0,0,0,42.238
4,1,1,0,1,0,1,0,1,0,23.538
4,2,1,1,0,1,0,0,1,0,28.458
3,1,1,1,1,1,0,0,1,1,28.656
4,2,1,0,1,0,0,1,1,0,31.746
4,1,1,1,1,1,1,0,0,0,21.942
4,1,1,1,0,0,0,0,1,1,22.248
4,1,2,0,1,0,0,0,1,1,23.884
4,1,1,1,1,1,1,0,1,1,21.906
2,2,2,1,1,0,0,0,1,0,55.174
4,2,3,1,0,0,1,0,1,1,31.496
4,1,2,1,1,1,0,1,1,1,25.124
4,3,3,0,1,1,1,1,0,0,52.51
